player_name,total_goals,total_assists,total_participations
 Kylian Mbappé ,8.0,2.0,10.0
 Lionel Messi ,7.0,3.0,10.0
 Harry Kane ,2.0,3.0,5.0
 Bruno Fernandes ,2.0,3.0,5.0
 Olivier Giroud ,4.0,0.0,4.0
 Álvaro Morata ,3.0,1.0,4.0
 Julián Álvarez ,4.0,0.0,4.0
 Ivan Perišić ,1.0,3.0,4.0
 Gonçalo Ramos ,3.0,1.0,4.0
 Vinícius Júnior ,1.0,2.0,3.0
 Mehdi Taremi ,2.0,1.0,3.0
 Neymar ,2.0,1.0,3.0
 Davy Klaassen ,1.0,2.0,3.0
 Antoine Griezmann ,0.0,3.0,3.0
 Raphaël Guerreiro ,1.0,2.0,3.0
 Theo Hernandez ,1.0,2.0,3.0
 Robert Lewandowski ,2.0,1.0,3.0
 Denzel Dumfries ,1.0,2.0,3.0
 Phil Foden ,1.0,2.0,3.0
 Christian Pulisic ,1.0,2.0,3.0
 Mislav Oršić ,1.0,2.0,3.0
 João Félix ,1.0,2.0,3.0
 Enzo Fernández ,2.0,1.0,3.0
 Vincent Aboubakar ,2.0,1.0,3.0
 Niclas Füllkrug ,2.0,1.0,3.0
 Cody Gakpo ,3.0,0.0,3.0
 Marcus Rashford ,3.0,0.0,3.0
 Enner Valencia ,3.0,0.0,3.0
 Richarlison ,3.0,0.0,3.0
 Bukayo Saka ,3.0,0.0,3.0
 Rafael Leão ,2.0,0.0,2.0
 Mohammed Kudus ,2.0,0.0,2.0
 Marcus Thuram ,0.0,2.0,2.0
 Dani Olmo ,1.0,1.0,2.0
 Cho Gue-sung ,2.0,0.0,2.0
 Daley Blind ,1.0,1.0,2.0
 Xherdan Shaqiri ,1.0,1.0,2.0
 Breel Embolo ,2.0,0.0,2.0
 Lucas Paquetá ,1.0,1.0,2.0
 Ferran Torres ,2.0,0.0,2.0
 Aleksandar Mitrović ,2.0,0.0,2.0
 Salem Al-Dawsari ,2.0,0.0,2.0
 Alexis Mac Allister ,1.0,1.0,2.0
 Andrej Kramarić ,2.0,0.0,2.0
 Nahuel Molina ,1.0,1.0,2.0
 Kai Havertz ,2.0,0.0,2.0
 Adrien Rabiot ,1.0,1.0,2.0
 Frenkie de Jong ,1.0,1.0,2.0
 Ritsu Dōan ,2.0,0.0,2.0
 Raheem Sterling ,1.0,1.0,2.0
 Dušan Tadić ,0.0,2.0,2.0
 Wout Weghorst ,2.0,0.0,2.0
 Marko Livaja ,1.0,1.0,2.0
 Serge Gnabry ,1.0,1.0,2.0
 Yeltsin Tejeda ,1.0,1.0,2.0
 Andrija Živković ,0.0,2.0,2.0
 Hakim Ziyech ,1.0,1.0,2.0
 Jordi Alba ,0.0,2.0,2.0
 Own goal ,0.0,2.0,2.0
 Jean-Charles Castelletto ,1.0,1.0,2.0
 Ángel Di María ,1.0,1.0,2.0
 Ousmane Dembélé ,0.0,2.0,2.0
 Giorgian de Arrascaeta ,2.0,0.0,2.0
 Mathew Leckie ,1.0,1.0,2.0
 Jude Bellingham ,1.0,1.0,2.0
 Youssef En-Nesyri ,2.0,0.0,2.0
 Jordan Ayew ,0.0,1.0,1.0
 Lee Kang-in ,0.0,1.0,1.0
 Ali Gholizadeh ,0.0,1.0,1.0
 Kim Jin-su ,0.0,1.0,1.0
 Iñaki Williams ,0.0,1.0,1.0
 Callum Wilson ,0.0,1.0,1.0
 Jamal Musiala ,0.0,1.0,1.0
 Tajon Buchanan ,0.0,1.0,1.0
 Josip Juranović ,0.0,1.0,1.0
 Abdelhamid Sabiri ,0.0,1.0,1.0
 Joachim Andersen ,0.0,1.0,1.0
 Ismail Mohammad ,0.0,1.0,1.0
 Rodrygo ,0.0,1.0,1.0
 Teun Koopmeiners ,0.0,1.0,1.0
 Yahia Attiyat Allah ,0.0,1.0,1.0
 Jerome Ngom Mbekeli ,0.0,1.0,1.0
 Luis Suárez ,0.0,1.0,1.0
 Diogo Dalot ,0.0,1.0,1.0
 Son Heung-min ,0.0,1.0,1.0
 Sergiño Dest ,0.0,1.0,1.0
 Riley McGree ,0.0,1.0,1.0
 Aïssa Laïdouni ,0.0,1.0,1.0
 César Montes ,0.0,1.0,1.0
 Achraf Hakimi ,0.0,1.0,1.0
 Leroy Sané ,0.0,1.0,1.0
 David Raum ,0.0,1.0,1.0
 Kaoru Mitoma ,0.0,1.0,1.0
 Junya Ito ,0.0,1.0,1.0
 César Azpilicueta ,0.0,1.0,1.0
 Steven Berghuis ,0.0,1.0,1.0
 Kalvin Phillips ,0.0,1.0,1.0
 Ko Itakura ,0.0,1.0,1.0
 Thiago Silva ,0.0,1.0,1.0
 Luke Shaw ,0.0,1.0,1.0
 Toby Alderweireld ,0.0,1.0,1.0
 Firas Al-Buraikan ,0.0,1.0,1.0
 Harry Maguire ,0.0,1.0,1.0
 Iliman Ndiaye ,0.0,1.0,1.0
 Ismail Jakobs ,0.0,1.0,1.0
 Hattan Bahebri ,0.0,1.0,1.0
 Félix Torres ,0.0,1.0,1.0
 Maya Yoshida ,0.0,1.0,1.0
 Ruben Vargas ,0.0,1.0,1.0
 Silvan Widmer ,0.0,1.0,1.0
 Djibril Sow ,0.0,1.0,1.0
 Nicolás Otamendi ,0.0,1.0,1.0
 Dejan Lovren ,0.0,1.0,1.0
 Ricardo Horta ,1.0,0.0,1.0
 Jack Grealish ,1.0,0.0,1.0
 Bruno Petković ,1.0,0.0,1.0
 Kim Young-gwon ,1.0,0.0,1.0
 Craig Goodwin ,1.0,0.0,1.0
 Takuma Asano ,1.0,0.0,1.0
 Roozbeh Cheshmi ,1.0,0.0,1.0
 Ilkay Gündoğan ,1.0,0.0,1.0
 Ramin Rezaeian ,1.0,0.0,1.0
 Mohammed Salisu ,1.0,0.0,1.0
 André Ayew ,1.0,0.0,1.0
 Osman Bukari ,1.0,0.0,1.0
 Carlos Soler ,1.0,0.0,1.0
 Gavi ,1.0,0.0,1.0
 Michy Batshuayi ,1.0,0.0,1.0
 Mitchell Duke ,1.0,0.0,1.0
 Saleh Al-Shehri ,1.0,0.0,1.0
 Andreas Christensen ,1.0,0.0,1.0
 Strahinja Pavlović ,1.0,0.0,1.0
 Sergej Milinković-Savić ,1.0,0.0,1.0
 Eric Maxim Choupo-Moting ,1.0,0.0,1.0
 Alphonso Davies ,1.0,0.0,1.0
 Piotr Zieliński ,1.0,0.0,1.0
 Gareth Bale ,1.0,0.0,1.0
 Tim Weah ,1.0,0.0,1.0
 Lovro Majer ,1.0,0.0,1.0
 Romain Saïss ,1.0,0.0,1.0
 Zakaria Aboukhlal ,1.0,0.0,1.0
 Keysher Fuller ,1.0,0.0,1.0
 Marco Asensio ,1.0,0.0,1.0
 Bamba Dieng ,1.0,0.0,1.0
 Mohammed Muntari ,1.0,0.0,1.0
 Hwang Hee-chan ,1.0,0.0,1.0
 Famara Diédhiou ,1.0,0.0,1.0
 Ao Tanaka ,1.0,0.0,1.0
 Juan Pablo Vargas ,1.0,0.0,1.0
 Nayef Aguerd ,1.0,0.0,1.0
 Henry Martín ,1.0,0.0,1.0
 Luis Chávez ,1.0,0.0,1.0
 Wahbi Khazri ,1.0,0.0,1.0
 Ismaïla Sarr ,1.0,0.0,1.0
 Moisés Caicedo ,1.0,0.0,1.0
 Remo Freuler ,1.0,0.0,1.0
 Dušan Vlahović ,1.0,0.0,1.0
 Joško Gvardiol ,1.0,0.0,1.0
 Achraf Dari ,1.0,0.0,1.0
 Randal Kolo Muani ,1.0,0.0,1.0
 Aurélien Tchouaméni ,1.0,0.0,1.0
 Pepe ,1.0,0.0,1.0
 Kalidou Koulibaly ,1.0,0.0,1.0
 Paik Seung-ho ,1.0,0.0,1.0
 Daizen Maeda ,1.0,0.0,1.0
 Jordan Henderson ,1.0,0.0,1.0
 Memphis ,1.0,0.0,1.0
 Haji Wright ,1.0,0.0,1.0
 Manuel Akanji ,1.0,0.0,1.0
 Casemiro ,1.0,0.0,1.0
 Cristiano Ronaldo ,1.0,0.0,1.0
 Boulaye Dia ,1.0,0.0,1.0
 Ángelo Preciado ,0.0,1.0,1.0
